smiles,staphylococcus_aureus
Cl.[O-][N+]1=C(C2=C[C@@]3(O)CC/C=C\CCCCN4CC[C@@H]2[C@]2(CC/C=C\CCCCN[C@H]23)C4)c2[nH]c3ccccc3c2CC1,1
CCc1cc(O)cc(O)c1C(=O)O[C@H]1[C@H](O)[C@H](O)[C@H](OC/C2=C\C=C\C[C@H](O)/C(C)=C/[C@H](CC)[C@@H](O[C@@H]3OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]3O)/C(C)=C/C(C)=C/C[C@@H](CC)OC2=O)O[C@@H]1C,0
C[C@H]1OC(=O)/C=C/C(=O)[C@@H](OC(=O)CCC(=O)O)CCCCCCCC[C@@H]1O,0
O=C(O[C@@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(Oc4c(C(=O)O)cc(O)c(O)c4O)c(O)c3O)C(=O)O[C@H]2[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,0
C/C(=C\CCC(C)(C)O)c1ccc(C(=O)O)cc1O,0
COC1=C(c2ccccc2)C(=O)C=C(c2ccccc2)C1=O,0
COc1c(Br)cc(Br)cc1Oc1cc(Br)c(Br)c(Br)c1OC,0
CC(C)/C=C1\N=C(O)[C@@H](Cc2ccccc2)n2c1nc1ccccc1c2=O,0
CC(=O)[C@H]1[C@@H]2C=C[C@@H]3[C@H]4C/C=C\C(O)=NCCC[C@H]5C(O)=C(C(=O)/C=C/[C@@H]4C[C@@H]3[C@H]2C[C@H]1C)C(=O)N5C,0
CC(C)C[C@@H](O)[C@H](O)[C@@H](C)[C@H]1CC(=O)[C@@H]2[C@@H]3[C@@H](O)[C@H](O)[C@H]4[C@H](O)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0
CC1=C(O)[C@@](C)(O)C[C@@H]([C@@H](O)/C=C/C=C/CO)C1=O,0
COc1cc(O)c2c(c1)C(=O)c1cc(C)c(O)c(-c3c(OC)cc4c(c3O)C(=O)c3cc(O)c(C)cc3C4=O)c1C2=O,0
C[C@@H]1O[C@@H](OC(=O)c2cccc3nc4c(C(=O)O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)cccc4nc23)[C@H](O)[C@H](O)[C@H]1O,0
CC[C@@]12CCCN3CC[C@@]4(O)c5ccccc5N(C(=O)CC1)[C@]324,0
C=C1CCC[C@@]23Oc4ccc(O)cc4C[C@]2(C)[C@@H](C)CC[C@@]13C,1
COc1ccc(C[C@H](N)C(O)=NCCc2cc(Br)c(OCCCN(C)C)c(Br)c2)cc1Br,0
CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C(=O)O[C@]3(C)CCC=CC3=O)C(=O)CC[C@]12C,1
C=C(C(CC(O)C(C)(C)O)OC(=O)/C(C)=C\C)[C@H]1C[C@H]2O[C@@]2(C)[C@@H](O)[C@H]1OC(=O)/C(C)=C\C,0
CCCCCCc1c(O)ccc2c1O[C@]1(C2=O)C(Cl)=C(Cl)C(=O)N1C,1
CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,0
C=C(CCCC(C)CO)c1ccc(C(=O)O)cc1O,0
C/C(=C\[C@@H](O)C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C)C(=O)O,0
CN1C(=O)c2c3c(cc4cccc1c24)C(C)(C)N=C3O,0
C=C1N=C(O)[C@H](Cc2c[nH]c3ccc(Cl)cc23)N=C(O)[C@@H](N=C(O)/C(=C/C)N=C(O)[C@@H](N)C(C)C)CSC[C@@H](C(O)=N[C@@H]2C(=O)N3CCC[C@H]3C(O)=NCC(O)=N[C@H](C(O)=N[C@H](C(O)=N[C@H]3CSC[C@@H]4N=C(O)[C@H](CC(=O)O)N=C(O)[C@H](CSC[C@@H]5N=C(O)[C@H](Cc6ccccc6)N=C(O)[C@H](CS/C=C\N=C5O)N=C4O)N=C(O)CN=C(O)CN=C(O)CN=C(O)[C@@H]4C(O)C(O)CN4C3=O)[C@@H](C)O)CSC2C)N=C(O)[C@H](CC(C)C)N=C1O,1
COc1cc(O)c(C(=O)CCCCc2ccccc2)c(O)c1,1
CC[C@@H](C)[C@@H]1N=C(O)[C@@H](CC(C)C)N=C(O)[C@H](CC(C)C)N=C(O)[C@H](CC(=O)c2ccccc2N)N=C(O)CN=C(O)[C@H](CC(=N)O)N=C1O,0
O=C(c1cc(Br)c(O)c(Br)c1)c1nccc2c1[nH]c1ccc(Br)cc12,1
COc1ccc(-c2coc3cc(O)c(OC)cc3c2=O)c(O)c1,0
CC[C@H](C)[C@H](N=C(O)[C@@H](N=C(O)[C@H](C)N=C(O)[C@H](CCCNC(=N)N)N=C(O)[C@H](CC(=N)O)N=C(O)[C@H](Cc1ccccc1)N=C(O)[C@H](CO)N=C(O)[C@@H](N)C(C)C)C(C)C)C(O)=N[C@@H](Cc1cnc[nH]1)C(O)=N[C@@H](CO)C(O)=N[C@@H](CC(C)C)C(O)=N[C@@H](CC(C)C)C(O)=NCC(=N)O,0
C=Cc1c(C)c(O)cc2c1ccc1c(C)c(O)ccc12,0
COC(=O)C(C)(O)[C@](O)(C[C@H](C)CCC/C(C)=C/CC/C(C)=C/CCC1=CCN(CC(=O)O)C1=O)C(=O)OC,0
COc1cc([C@H]2Oc3cc(-c4cc(=O)c5c(O)cc(O)cc5o4)ccc3O[C@@H]2CO)cc(OC)c1O,1
C[C@@H]1O[C@@H](Oc2ccc(-c3coc4cc(O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)cc(O)c4c3=O)cc2)[C@H](O)[C@H](O)[C@H]1O,0
C=C(N=C(O)c1csc(-c2nc3c(cc2O)-c2nc(cs2)C(O)=N[C@@H]([C@@H](C)O)C(O)=N/C(=C(\C)OC)c2nc(cs2)C(O)=N[C@@H]([C@H](O)[C@H](O[C@H]2C[C@](C)(O)[C@H](N(C)C)[C@H](C)O2)C(=O)O)c2nc(cs2)C(O)=N[C@@H](CO)c2nc-3cs2)n1)C(=N)O,0
Cc1c(O)c(C)c2c(c1O)CO[C@]1(C[C@@]3(C)O[C@H](C)[C@@H](C)c4c(C)c(O)c(C(=O)O)c(c43)O1)[C@H]2C,0
C=C[C@@]1(C)CC[C@@H]2C(C)(C)c3cccc4[nH]c5c(c34)[C@@]2(O)[C@]1(C#N)[C@H]1O[C@H]1C5(C)C,0
CC(C)=CCc1cc(O)c(O)c(CC=C(C)C)c1-c1oc2c(CC=C(C)C)c(O)cc(O)c2c(=O)c1O,1
CC(=O)C1=C(O)C(C)(CC=C(C)C)C(O)=C(Cc2c(OCC=C(C)C)cc(O)c(C(C)=O)c2O)C1=O,1
CCCOc1cc(C)cc(Oc2cc(C)cc(O)c2)c1,0
C/C(=C\CC/C(C)=C/C[C@]1(O)C(=O)c2c(O)cc(C)c3c(O)c(C)c(O)c(c23)C1=O)CC/C=C(\C)CCC1OC(C)(C)OC1(C)C,0
COc1c(O)c2c(c(C)c1C(=O)C=C(C)C)Oc1c(C=O)c(O)c(Cl)c(C)c1C(=O)O2,0
